,姓名,身份证,学号,性别,语文,数学,英语,总分,分科,平均分,附加总分,结果
0,葛小伦,320381199605057019,156307315,男,100,160,80,340,文科,113,342,合格
1,天使彦,320381199705225000,156307316,女,79,190,100,369,理科,123,373,合格
2,赵信,320381199506081234,156307317,男,80,100,70,250,理科,83,252,不合格
3,蔷薇,320381199605061234,156307318,女,100,180,90,370,理科,123,371,合格
4,阿狸,320381200012211234,156307319,女,100,100,100,300,理科,100,303,不合格
5,孙悟空,320381199209095678,156307320,男,130,120,80,330,理科,110,331,合格
6,莫甘娜,320381199411119876,156307321,女,100,180,100,380,理科,126,380,合格
7,蕾娜,320381199808072345,156307322,女,90,160,100,350,理科,116,351,合格
8,凯莎,320381199112123456,156307323,女,130,200,90,420,文科,140,421,合格
9,卡尔,320381199209089876,156307324,女,100,200,100,400,理科,133,400,合格
10,锐萌萌,320381199908075678,156307325,女,90,100,90,280,理科,93,284,不合格
11,易大师,320381198912091234,156307326,男,140,100,80,320,文科,106,325,合格
12,大T,320381199607066789,156307327,男,100,80,90,270,文科,90,272,不合格
13,冯提莫,320381199706072345,156307328,女,110,110,90,310,理科,103,312,合格
14,老流浪,320381196912139876,156307329,男,130,200,90,420,理科,140,424,合格
15,时光,320381196612181234,156307330,男,140,200,100,440,文科,146,445,合格
16,艾克,320381199812190000,156307331,男,110,150,80,340,文科,113,340,合格
17,辛德拉,320381199807063456,156307332,女,110,150,90,350,理科,116,353,合格
18,压缩,320381199709081234,156307333,男,90,167,80,337,理科,112,337,合格
19,菲奥娜,320381196912139877,156307334,女,100,120,100,320,理科,106,324,合格
20,贾克斯,320381196912139871,156307335,男,100,130,90,320,文科,106,320,合格
21,嘉文四世,320381196612181257,156307336,男,110,130,80,320,理科,106,323,合格
22,卡莉斯塔,320381199112123445,156307337,女,110,135,87,332,文科,110,332,合格
23,奥巴马,320381199112123434,156307338,男,100,160,79,339,理科,113,340,合格
24,维鲁斯,320381199605061267,156307339,男,111,147,89,347,文科,115,349,合格
25,维克托,320381196912139834,156307340,男,123,145,79,347,理科,115,349,合格
27,乐芙兰,320381199709081278,156307342,女,119,156,81,356,理科,118,360,合格
